Date,Province,Agriculture,Mining,Manufacturing,Construction,Trade,Transport,Finance,Community and social services
30-06-2018,Limpopo,130,81,88,150,318,51,119,327
30-03-2018,WesternCape,208,2,351,214,510,141,436,496
30-03-2018,EasternCape,91,1,144,154,286,70,134,403
30-03-2018,NorthenCape,48,24,15,26,48,10,26,95
30-03-2018,FreeState,92,18,58,59,176,35,91,200
30-03-2018,KZN,115,7,371,211,467,178,323,702
30-03-2018,NorthWest,47,125,74,96,197,33,117,228
30-03-2018,Gauteng,29,74,650,419,1 004,383,1 018,1 069
30-03-2018,Mpumalanga,87,66,98,105,261,52,117,252
30-03-2018,Limpopo,130,81,88,146,328,58,141,339
30-12-2017,WesternCape,193,4,328,227,483,146,459,491
30-12-2017,EasternCape,94,2,115,146,320,64,152,372
30-12-2017,NorthenCape,55,25,9,26,45,12,26,100
30-12-2017,FreeState,77,16,55,75,163,39,86,200
30-12-2017,KZN,106,4,361,196,468,189,318,645
30-12-2017,NorthWest,47,128,85,90,206,36,111,218
30-12-2017,Gauteng,36,76,643,369,1 003,399,970,1 062
30-12-2017,Mpumalanga,104,64,106,107,254,59,132,264
30-12-2017,Limpopo,136,92,90,154,298,55,119,338
30-09-2017,WesternCape,159,5,330,231,481,150,424,446
30-09-2017,EasternCape,86,1,128,157,312,67,169,376
30-09-2017,NorthenCape,39,33,9,21,45,9,22,97
30-09-2017,FreeState,75,17,55,73,178,51,75,198
30-09-2017,KZN,121,5,330,199,490,182,320,633
30-09-2017,NorthWest,49,137,78,71,200,35,102,230
30-09-2017,Gauteng,44,91,624,340,990,383,1 070,1 091
30-09-2017,Mpumalanga,100,51,112,118,254,57,148,227
30-09-2017,Limpopo,138,107,84,156,335,55,132,319
30-06-2017,WesternCape,180,3,339,229,455,137,417,477
30-06-2017,EasternCape,90,1,129,139,339,74,166,369
30-06-2017,NorthenCape,36,33,7,24,54,11,18,81
30-06-2017,FreeState,80,15,69,61,165,44,59,176
30-06-2017,KZN,123,9,295,235,543,170,346,620
30-06-2017,NorthWest,54,132,77,84,197,31,99,210
30-06-2017,Gauteng,34,86,666,387,963,374,1 047,1 064
30-06-2017,Mpumalanga,95,54,112,105,255,55,140,245
30-06-2017,Limpopo,144,101,106,131,295,59,103,318
30-03-2017,WesternCape,215,4,359,228,432,148,379,474
30-03-2017,EasternCape,87,0,149,168,324,76,162,363
30-03-2017,NorthenCape,47,28,12,26,44,12,17,86
30-03-2017,FreeState,70,17,68,56,175,43,54,190
30-03-2017,KZN,141,7,295,228,518,155,332,608
30-03-2017,NorthWest,50,132,74,87,179,38,87,242
30-03-2017,Gauteng,36,92,646,452,1 008,384,1 094,1 055
30-03-2017,Mpumalanga,89,55,104,112,227,69,145,265
30-03-2017,Limpopo,140,112,82,150,301,40,109,285
30-12-2016,WesternCape,250,4,317,237,426,146,366,469
30-12-2016,EasternCape,88,0,142,185,323,80,149,364
30-12-2016,NorthenCape,53,24,15,22,44,15,16,85
30-12-2016,FreeState,65,17,59,54,193,36,53,181
30-12-2016,KZN,146,8,306,228,525,160,303,611
30-12-2016,NorthWest,55,128,66,72,198,37,79,233
30-12-2016,Gauteng,36,77,643,402,994,378,1 123,1 069
30-12-2016,Mpumalanga,88,53,100,113,219,58,120,262
30-12-2016,Limpopo,139,109,80,170,299,52,119,298
30-09-2016,WesternCape,196,3,301,242,450,120,381,457
30-09-2016,EasternCape,100,1,142,180,312,72,134,381
30-09-2016,NorthenCape,56,14,15,31,46,15,18,89
30-09-2016,FreeState,60,28,60,55,176,38,63,193
30-09-2016,KZN,141,5,317,203,540,179,295,579
30-09-2016,NorthWest,48,141,72,79,147,27,85,209
30-09-2016,Gauteng,47,107,605,405,1 017,359,1 115,1 014
30-09-2016,Mpumalanga,100,59,95,130,230,53,122,260
30-09-2016,Limpopo,134,80,76,167,281,52,109,316
30-06-2016,WesternCape,186,1,320,211,433,112,386,445
30-06-2016,EasternCape,99,2,134,150,265,68,117,389
30-06-2016,NorthenCape,42,19,11,34,46,13,19,84
30-06-2016,FreeState,66,35,66,56,155,36,59,214
30-06-2016,KZN,122,5,329,218,526,164,271,600
30-06-2016,NorthWest,37,140,70,77,193,33,83,201
30-06-2016,Gauteng,44,113,624,383,972,332,1 057,1 040
30-06-2016,Mpumalanga,106,57,90,111,236,62,129,244
30-06-2016,Limpopo,123,75,67,148,309,42,100,326
30-03-2016,WesternCape,228,2,286,204,457,121,418,471
30-03-2016,EasternCape,95,4,121,142,292,70,111,403
30-03-2016,NorthenCape,40,21,13,28,49,14,28,89
30-03-2016,FreeState,72,35,59,57,166,34,57,201
30-03-2016,KZN,131,7,316,240,550,166,266,617
30-03-2016,NorthWest,54,157,64,59,163,44,99,207
30-03-2016,Gauteng,37,95,619,374,937,342,1 038,1 077
30-03-2016,Mpumalanga,95,65,86,99,245,61,115,266
30-03-2016,Limpopo,118,85,80,158,300,50,96,340
30-12-2015,WesternCape,214,3,324,216,460,125,407,461
30-12-2015,EasternCape,89,1,119,166,306,67,134,384
30-12-2015,NorthenCape,43,22,13,33,46,10,19,96
30-12-2015,FreeState,64,35,69,53,187,38,65,213
30-12-2015,KZN,141,8,310,240,531,155,280,648
30-12-2015,NorthWest,57,172,80,69,168,46,94,200
30-12-2015,Gauteng,34,105,653,408,1 054,342,1 041,1 036
30-12-2015,Mpumalanga,92,61,97,123,242,61,130,259
30-12-2015,Limpopo,126,76,73,131,287,55,103,329
30-09-2015,WesternCape,245,3,283,196,484,119,119,464
30-09-2015,EasternCape,88,2,134,175,269,58,58,392
30-09-2015,NorthenCape,34,22,10,36,53,10,10,92
30-09-2015,FreeState,65,30,59,61,165,33,33,216
30-09-2015,KZN,134,7,349,283,518,155,155,643
30-09-2015,NorthWest,55,154,76,63,176,37,37,183
30-09-2015,Gauteng,33,92,671,391,1 001,366,366,1 024
30-09-2015,Mpumalanga,96,58,115,104,237,59,59,257
30-09-2015,Limpopo,145,78,78,151,296,60,60,311
30-06-2015,WesternCape,215,3,275,206,467,117,346,453
30-06-2015,EasternCape,84,0,138,170,297,62,123,386
30-06-2015,NorthenCape,27,25,13,30,54,8,17,93
30-06-2015,FreeState,74,34,72,53,169,36,62,206
30-06-2015,KZN,150,8,360,260,493,174,251,624
30-06-2015,NorthWest,54,154,64,62,171,25,110,212
30-06-2015,Gauteng,32,83,650,371,960,381,1 013,1 043
30-06-2015,Mpumalanga,88,58,110,92,240,62,142,249
30-06-2015,Limpopo,145,81,73,156,267,56,100,282
30-03-2015,WesternCape,252,3,307,181,410,116,353,473
30-03-2015,EasternCape,72,1,133,150,292,69,128,386
30-03-2015,NorthenCape,38,31,7,18,57,11,29,83
30-03-2015,FreeState,82,34,71,57,167,35,71,200
30-03-2015,KZN,154,9,373,283,466,166,286,581
30-03-2015,NorthWest,54,140,68,61,151,30,105,214
30-03-2015,Gauteng,36,96,653,335,992,355,1 002,987
30-03-2015,Mpumalanga,78,56,100,97,242,66,127,250
30-03-2015,Limpopo,126,74,66,139,268,51,94,276
30-12-2014,WesternCape,131,3,287,190,466,133,362,462
30-12-2014,EasternCape,88,1,135,131,289,68,115,388
30-12-2014,NorthenCape,60,20,11,29,47,7,24,102
30-12-2014,FreeState,54,26,76,54,170,32,67,207
30-12-2014,KZN,102,4,362,280,530,169,237,599
30-12-2014,NorthWest,42,150,76,56,177,36,73,234
30-12-2014,Gauteng,55,74,618,366,1 002,396,963,990
30-12-2014,Mpumalanga,89,76,93,110,254,55,125,231
30-12-2014,Limpopo,121,73,92,118,312,56,59,302
30-09-2014,WesternCape,133,4,276,169,487,139,362,462
30-09-2014,EasternCape,88,2,130,149,299,85,115,388
30-09-2014,NorthenCape,37,19,10,25,43,7,24,102
30-09-2014,FreeState,54,28,81,53,154,33,67,207
30-09-2014,KZN,79,8,343,241,511,173,237,599
30-09-2014,NorthWest,39,167,74,53,164,34,73,234
30-09-2014,Gauteng,62,55,642,364,991,358,963,990
30-09-2014,Mpumalanga,83,90,103,112,234,58,125,231
30-09-2014,Limpopo,111,70,81,115,313,45,59,302
30-06-2014,WesternCape,142,6,325,158,450,153,366,425
30-06-2014,EasternCape,71,5,143,154,260,79,111,396
30-06-2014,NorthenCape,32,18,9,22,49,8,26,102
30-06-2014,FreeState,62,29,62,48,151,32,67,206
30-06-2014,KZN,85,6,329,241,550,184,243,594
30-06-2014,NorthWest,46,139,61,51,174,26,70,224
30-06-2014,Gauteng,56,49,617,307,997,373,960,1 046
30-06-2014,Mpumalanga,81,99,108,88,237,51,105,233
30-06-2014,Limpopo,95,69,89,113,313,43,62,303
30-03-2014,WesternCape,160,4,346,154,474,142,352,448
30-03-2014,EasternCape,66,2,148,122,287,85,115,388
30-03-2014,NorthenCape,46,20,10,22,45,10,27,98
30-03-2014,FreeState,57,27,56,52,148,36,58,206
30-03-2014,KZN,96,5,361,247,570,178,274,561
30-03-2014,NorthWest,43,153,65,56,172,30,60,216
30-03-2014,Gauteng,63,45,644,358,988,318,972,1 002
30-03-2014,Mpumalanga,82,98,96,80,243,52,122,213
30-03-2014,Limpopo,96,70,79,107,258,43,66,296
30-12-2013,WesternCape,162,3,318,163,496,133,361,445
30-12-2013,EasternCape,67,1,146,151,263,88,108,378
30-12-2013,NorthenCape,45,20,9,23,51,21,30,102
30-12-2013,FreeState,70,25,58,47,139,35,70,213
30-12-2013,KZN,96,6,345,221,567,198,282,572
30-12-2013,NorthWest,42,163,81,59,163,31,63,192
30-12-2013,Gauteng,53,49,654,310,1 011,359,930,1 057
30-12-2013,Mpumalanga,77,89,76,98,265,51,134,229
30-12-2013,Limpopo,102,69,78,132,271,46,60,284
30-09-2013,WesternCape,159,2,286,156,458,136,350,453
30-09-2013,EasternCape,73,1,156,149,280,64,119,325
30-09-2013,NorthenCape,43,18,10,24,47,13,26,101
30-09-2013,FreeState,66,23,58,53,142,35,65,203
30-09-2013,KZN,108,21,352,227,554,200,280,590
30-09-2013,NorthWest,42,160,73,54,147,27,72,205
30-09-2013,Gauteng,37,36,674,283,1 034,356,971,972
30-09-2013,Mpumalanga,99,87,91,92,253,49,116,231
30-09-2013,Limpopo,114,75,78,108,269,45,61,294
30-06-2013,WesternCape,134,3,290,164,451,138,344,440
30-06-2013,EasternCape,86,1,165,134,269,69,101,336
30-06-2013,NorthenCape,41,19,11,22,51,15,25,85
30-06-2013,FreeState,65,21,64,50,141,34,58,220
30-06-2013,KZN,92,25,353,232,482,179,285,564
30-06-2013,NorthWest,36,154,66,51,154,28,71,205
30-06-2013,Gauteng,50,27,710,303,1 045,355,918,935
30-06-2013,Mpumalanga,113,82,103,84,247,46,102,215
30-06-2013,Limpopo,126,71,76,109,246,34,62,268
30-03-2013,WesternCape,140,3,329,150,419,132,354,431
30-03-2013,EasternCape,87,2,167,126,260,61,108,326
30-03-2013,NorthenCape,47,21,12,22,46,10,24,87
30-03-2013,FreeState,88,25,68,54,135,36,61,191
30-03-2013,KZN,95,25,348,208,476,188,301,545
30-03-2013,NorthWest,37,148,69,42,154,33,70,205
30-03-2013,Gauteng,50,20,686,315,1 054,330,843,1 022
30-03-2013,Mpumalanga,104,80,107,77,231,46,91,217
30-03-2013,Limpopo,115,70,71,89,257,35,63,272
30-12-2012,WesternCape,142,4,314,160,428,112,356,455
30-12-2012,EasternCape,58,2,163,130,269,63,104,316
30-12-2012,NorthenCape,48,17,11,19,50,10,23,88
30-12-2012,FreeState,62,26,71,52,148,27,65,182
30-12-2012,KZN,98,30,343,213,470,179,289,549
30-12-2012,NorthWest,32,138,66,49,158,40,89,208
30-12-2012,Gauteng,51,26,669,327,1 067,339,863,999
30-12-2012,Mpumalanga,106,63,105,80,251,59,90,190
30-12-2012,Limpopo,121,76,73,103,267,49,71,263
30-09-2012,WesternCape,138,3,326,161,427,112,317,439
30-09-2012,EasternCape,59,1,154,138,296,66,117,343
30-09-2012,NorthenCape,44,18,12,15,49,11,29,92
30-09-2012,FreeState,67,27,59,51,144,32,66,179
30-09-2012,KZN,90,18,376,213,497,197,284,539
30-09-2012,NorthWest,35,130,62,46,167,36,74,199
30-09-2012,Gauteng,57,33,684,313,1 032,333,889,1 014
30-09-2012,Mpumalanga,97,66,85,73,248,54,106,179
30-09-2012,Limpopo,112,79,78,105,269,54,62,255
30-06-2012,WesternCape,116,4,324,165,439,109,322,457
30-06-2012,EasternCape,58,3,151,105,312,65,98,354
30-06-2012,NorthenCape,44,19,10,20,43,8,25,95
30-06-2012,FreeState,55,26,56,49,153,30,76,176
30-06-2012,KZN,92,19,372,204,518,188,270,532
30-06-2012,NorthWest,36,136,62,50,162,35,50,186
30-06-2012,Gauteng,78,35,658,301,964,283,869,1 009
30-06-2012,Mpumalanga,95,73,82,83,276,63,94,168
30-06-2012,Limpopo,101,70,66,97,270,53,55,248
30-03-2012,WesternCape,142,3,340,157,436,113,338,437
30-03-2012,EasternCape,46,1,152,103,315,72,122,328
30-03-2012,NorthenCape,47,16,16,19,42,11,25,88
30-03-2012,FreeState,69,28,53,47,157,27,70,183
30-03-2012,KZN,92,17,369,203,539,175,260,529
30-03-2012,NorthWest,42,124,62,51,167,30,58,180
30-03-2012,Gauteng,72,31,685,297,1 053,295,836,937
30-03-2012,Mpumalanga,94,71,89,69,249,55,86,168
30-03-2012,Limpopo,90,73,71,96,250,55,60,244
30-12-2011,WesternCape,107,4,369,163,449,111,321,427
30-12-2011,EasternCape,63,1,152,121,296,71,138,329
30-12-2011,NorthenCape,57,13,15,19,42,10,26,83
30-12-2011,FreeState,62,27,64,47,169,34,61,194
30-12-2011,KZN,95,12,417,233,584,163,262,499
30-12-2011,NorthWest,33,123,68,55,154,30,63,186
30-12-2011,Gauteng,74,34,677,285,1 013,337,814,944
30-12-2011,Mpumalanga,84,76,85,85,245,44,92,185
30-12-2011,Limpopo,94,63,62,97,246,40,69,254
30-09-2011,WesternCape,125,7,315,143,444,121,336,413
30-09-2011,EasternCape,65,1,166,103,286,72,129,327
30-09-2011,NorthenCape,48,11,14,22,40,10,23,86
30-09-2011,FreeState,66,21,63,113,174,33,73,194
30-09-2011,KZN,95,15,385,229,579,149,272,468
30-09-2011,NorthWest,34,127,74,47,144,25,68,169
30-09-2011,Gauteng,45,28,666,287,1 004,314,812,904
30-09-2011,Mpumalanga,83,78,86,81,244,47,88,183
30-09-2011,Limpopo,91,60,68,112,256,35,72,265
30-06-2011,WesternCape,114,4,317,136,459,124,327,442
30-06-2011,EasternCape,60,1,189,117,279,72,133,320
30-06-2011,NorthenCape,48,10,10,13,39,11,24,85
30-06-2011,FreeState,72,16,61,54,177,31,73,195
30-06-2011,KZN,94,5,383,228,534,171,259,485
30-06-2011,NorthWest,36,120,71,50,159,27,60,170
30-06-2011,Gauteng,41,33,648,345,998,309,782,867
30-06-2011,Mpumalanga,84,57,81,75,233,43,89,185
30-06-2011,Limpopo,77,56,72,80,225,35,67,259
30-03-2011,WesternCape,133,3,322,140,436,132,281,448
30-03-2011,EasternCape,63,2,170,118,285,56,120,330
30-03-2011,NorthenCape,54,11,14,14,35,15,16,81
30-03-2011,FreeState,62,22,63,56,164,35,76,196
30-03-2011,KZN,102,14,374,225,513,167,246,492
30-03-2011,NorthWest,41,147,71,50,168,23,66,171
30-03-2011,Gauteng,40,23,746,321,1 033,274,779,842
30-03-2011,Mpumalanga,77,56,82,75,240,38,88,193
30-03-2011,Limpopo,55,59,63,95,244,34,66,237
30-12-2010,WesternCape,135,4,312,148,419,130,283,416
